"","Date","DateCor","Position","Tank","Enclosure","Treatment","PredT","Density","Density.at.t.1","TotalTadMass","AvgTadMass","ChlAConcentration","TankChl","Salinity","Temp","pH","DO.","Collected.Volume..mL.","Copepoda","Diplostraca","Ostracoda","TotalZoop","Other","Detritious.Load","Leaf.Conent","CopepodPerLiter","DiploPerLiter","OstracodPerLiter","ZoopPerLiter","TotalCrust","Mass","FrogDensity","CumFrogMass","CumFrogDen","TotalAnuranMass","AvgAnuranMass","time"
"1",2024-07-23,2024-07-23,"1_A","1","A","5","0",3,3,1.1225,0.374166666666667,0.35424,NA,4.94,28.5,6.4,3.7,3880,189,7,0,196,12,"Null","Null",48.7113402061856,1.80412371134021,0,50.5154639175258,50.5154639175258,0,0,0,0,1.1225,0.374166666666667,1
"2",2024-08-03,2024-08-03,"1_A","1","A","5","0",3,3,2.2722,0.7574,1.48,1.44,5.1,27.8,4.59,27.6,3915,67,0,0,71,4,"Med","None",17.1136653895275,0,0,18.1353767560664,17.1136653895275,0,0,0,0,2.2722,0.7574,2
"3",2024-08-04,2024-08-17,"1_A","1","A","5","0",0,NA,0,0,1.41,1.41,5.03,25.7,6.39,39.1,3890,56,0,0,57,1,"Low","Low",14.3958868894602,0,0,14.6529562982005,14.3958868894602,0,0,0,0,0,0,3
"4",2024-08-18,2024-08-31,"1_A","1","A","5","0",0,NA,0,0,1.35,1.07,5.05,27.7,6.62,47.9,3820,61,0,0,63,2,"Low","None",15.9685863874346,0,0,16.4921465968586,15.9685863874346,0,0,0,0,0,0,4
"5",2024-09-01,2024-09-14,"1_A","1","A","5","0",0,NA,0,0,2.09,1.84,5.05,23.8,6.61,37.5,3795,52,0,0,55,3,"Med","Low",13.7022397891963,0,0,14.4927536231884,13.7022397891963,0,0,0,0,0,0,5
"6",2024-09-15,2024-09-28,"1_A","1","A","5","0",0,NA,0,0,3.71,5.55,4.6,25.8,6.56,19.3,4020,52,0,0,60,8,"Med","Low",12.9353233830846,0,0,14.9253731343284,12.9353233830846,0,0,0,0,0,0,6
"7",2024-09-28,2024-10-12,"1_A","1","A","5","0",0,NA,0,0,3.17,4,5.18,17.4,7.1,55,3880,82,0,0,84,2,"High","Low",21.1340206185567,0,0,21.6494845360825,21.1340206185567,0,0,0,0,0,0,7
"8",2024-10-12,2024-10-26,"1_A","1","A","5","0",0,NA,0,0,1.35,1.37,5.11,20.1,7.1,49.6,3880,57,0,1,63,5,"High","Low",14.6907216494845,0,0.257731958762887,16.2371134020619,14.9484536082474,0,0,0,0,0,0,8
"9",2024-10-26,2024-11-16,"1_A","1","A","5","0",0,NA,0,0,1.17,1.51,5.03,14.8,7.02,46.8,4155,76,0,0,76,0,"Very High","Med",18.2912154031288,0,0,18.2912154031288,18.2912154031288,0,0,0,0,0,0,9
"10",2024-07-23,2024-07-23,"1_B","1","B","5","1",28,46,3.4938,0.124778571428571,0.26448,NA,4.94,28.5,6.4,3.7,3880,189,7,0,196,12,"Null","Null",48.7113402061856,1.80412371134021,0,50.5154639175258,50.5154639175258,0,0,0,0,3.4938,0.124778571428571,1
"11",2024-08-03,2024-08-03,"1_B","1","B","5","1",9,28,2.5922,0.288022222222222,1.07,1.44,5.1,27.8,4.59,27.6,3915,67,0,0,71,4,"Med","None",17.1136653895275,0,0,18.1353767560664,17.1136653895275,0,0,0,0,2.5922,0.288022222222222,2
"12",2024-08-17,2024-08-17,"1_B","1","B","5","1",7,9,4.3498,0.6214,1.13,1.41,5.03,25.7,6.39,39.1,3890,56,0,0,57,1,"Low","Low",14.3958868894602,0,0,14.6529562982005,14.3958868894602,0,0,0,0,4.3498,0.6214,3
"13",2024-08-31,2024-08-31,"1_B","1","B","5","1",5,7,2.7796,0.55592,1.17,1.07,5.05,27.7,6.62,47.9,3820,61,0,0,63,2,"Low","None",15.9685863874346,0,0,16.4921465968586,15.9685863874346,0.2754,1,0.2754,1,3.055,0.509166666666667,4
"14",2024-09-14,2024-09-14,"1_B","1","B","5","1",2,5,1.4364,0.7182,2.22,1.84,5.05,23.8,6.61,37.5,3795,52,0,0,55,3,"Med","Low",13.7022397891963,0,0,14.4927536231884,13.7022397891963,0.4663,2,1.0111,4,2.4475,0.611875,5
"15",2024-09-15,2024-09-28,"1_B","1","B","5","1",0,NA,0,0,3.15,5.55,4.6,25.8,6.56,19.3,4020,52,0,0,60,8,"Med","Low",12.9353233830846,0,0,14.9253731343284,12.9353233830846,0.317,1,1.3281,5,1.3281,1.3281,6
"16",2024-09-28,2024-10-12,"1_B","1","B","5","1",0,NA,0,0,2.96,4,5.18,17.4,7.1,55,3880,82,0,0,84,2,"High","Low",21.1340206185567,0,0,21.6494845360825,21.1340206185567,0.317,1,1.3281,5,1.3281,1.3281,7
"17",2024-10-12,2024-10-26,"1_B","1","B","5","1",0,NA,0,0,1.51,1.37,5.11,20.1,7.1,49.6,3880,57,0,1,63,5,"High","Low",14.6907216494845,0,0.257731958762887,16.2371134020619,14.9484536082474,0.317,1,1.3281,5,1.3281,1.3281,8
"18",2024-10-26,2024-11-16,"1_B","1","B","5","1",0,NA,0,0,1.57,1.51,5.03,14.8,7.02,46.8,4155,76,0,0,76,0,"Very High","Med",18.2912154031288,0,0,18.2912154031288,18.2912154031288,0.317,1,1.3281,5,1.3281,1.3281,9
"19",2024-07-23,2024-07-23,"1_C","1","C","5","1",8,59,1.7676,0.22095,0.21504,NA,4.94,28.5,6.4,3.7,3880,189,7,0,196,12,"Null","Null",48.7113402061856,1.80412371134021,0,50.5154639175258,50.5154639175258,0,0,0,0,1.7676,0.22095,1
"20",2024-08-03,2024-08-03,"1_C","1","C","5","1",1,8,0.5219,0.5219,1.06,1.44,5.1,27.8,4.59,27.6,3915,67,0,0,71,4,"Med","None",17.1136653895275,0,0,18.1353767560664,17.1136653895275,0,0,0,0,0.5219,0.5219,2
"21",2024-08-17,2024-08-17,"1_C","1","C","5","1",1,1,1.2112,1.2112,0.79,1.41,5.03,25.7,6.39,39.1,3890,56,0,0,57,1,"Low","Low",14.3958868894602,0,0,14.6529562982005,14.3958868894602,0,0,0,0,1.2112,1.2112,3
"22",2024-08-31,2024-08-31,"1_C","1","C","5","1",0,NA,0,0,0.87,1.07,5.05,27.7,6.62,47.9,3820,61,0,0,63,2,"Low","None",15.9685863874346,0,0,16.4921465968586,15.9685863874346,0.5211,1,0.5211,1,0.5211,0.5211,4
"23",2024-09-14,2024-09-14,"1_C","1","C","5","1",0,NA,0,0,1.93,1.84,5.05,23.8,6.61,37.5,3795,52,0,0,55,3,"Med","Low",13.7022397891963,0,0,14.4927536231884,13.7022397891963,0.2042,1,0.7253,2,0.7253,0.7253,5
"24",2024-09-15,2024-09-28,"1_C","1","C","5","1",0,NA,0,0,5.92,5.55,4.6,25.8,6.56,19.3,4020,52,0,0,60,8,"Med","Low",12.9353233830846,0,0,14.9253731343284,12.9353233830846,0.2042,1,0.7253,2,0.7253,0.7253,6
"25",2024-09-28,2024-10-12,"1_C","1","C","5","1",0,NA,0,0,2.11,4,5.18,17.4,7.1,55,3880,82,0,0,84,2,"High","Low",21.1340206185567,0,0,21.6494845360825,21.1340206185567,0.2042,1,0.7253,2,0.7253,0.7253,7
"26",2024-10-12,2024-10-26,"1_C","1","C","5","1",0,NA,0,0,0.83,1.37,5.11,20.1,7.1,49.6,3880,57,0,1,63,5,"High","Low",14.6907216494845,0,0.257731958762887,16.2371134020619,14.9484536082474,0.2042,1,0.7253,2,0.7253,0.7253,8
"27",2024-10-26,2024-11-16,"1_C","1","C","5","1",0,NA,0,0,0.94,1.51,5.03,14.8,7.02,46.8,4155,76,0,0,76,0,"Very High","Med",18.2912154031288,0,0,18.2912154031288,18.2912154031288,0.2042,1,0.7253,2,0.7253,0.7253,9
"28",2024-07-23,2024-07-23,"1_D","1","D","5","0",30,33,3.6435,0.12145,0.38448,NA,4.94,28.5,6.4,3.7,3880,189,7,0,196,12,"Null","Null",48.7113402061856,1.80412371134021,0,50.5154639175258,50.5154639175258,0,0,0,0,3.6435,0.12145,1
"29",2024-08-03,2024-08-03,"1_D","1","D","5","0",13,30,3.087,0.237461538461538,1.09,1.44,5.1,27.8,4.59,27.6,3915,67,0,0,71,4,"Med","None",17.1136653895275,0,0,18.1353767560664,17.1136653895275,0,0,0,0,3.087,0.237461538461538,2
"30",2024-08-17,2024-08-17,"1_D","1","D","5","0",4,13,2.8129,0.703225,1.22,1.41,5.03,25.7,6.39,39.1,3890,56,0,0,57,1,"Low","Low",14.3958868894602,0,0,14.6529562982005,14.3958868894602,0,0,0,0,2.8129,0.703225,3
"31",2024-08-31,2024-08-31,"1_D","1","D","5","0",1,4,0.8329,0.8329,1.17,1.07,5.05,27.7,6.62,47.9,3820,61,0,0,63,2,"Low","None",15.9685863874346,0,0,16.4921465968586,15.9685863874346,0.9606,3,0.9606,3,1.7935,0.448375,4
"32",2024-09-14,2024-09-14,"1_D","1","D","5","0",0,NA,0,0,1.99,1.84,5.05,23.8,6.61,37.5,3795,52,0,0,55,3,"Med","Low",13.7022397891963,0,0,14.4927536231884,13.7022397891963,0.356,1,1.3166,4,1.3166,1.3166,5
"33",2024-09-15,2024-09-28,"1_D","1","D","5","0",0,NA,0,0,5.07,5.55,4.6,25.8,6.56,19.3,4020,52,0,0,60,8,"Med","Low",12.9353233830846,0,0,14.9253731343284,12.9353233830846,0.356,1,1.3166,4,1.3166,1.3166,6
"34",2024-09-28,2024-10-12,"1_D","1","D","5","0",0,NA,0,0,3.47,4,5.18,17.4,7.1,55,3880,82,0,0,84,2,"High","Low",21.1340206185567,0,0,21.6494845360825,21.1340206185567,0.356,1,1.3166,4,1.3166,1.3166,7
"35",2024-10-12,2024-10-26,"1_D","1","D","5","0",0,NA,0,0,4.53,1.37,5.11,20.1,7.1,49.6,3880,57,0,1,63,5,"High","Low",14.6907216494845,0,0.257731958762887,16.2371134020619,14.9484536082474,0.356,1,1.3166,4,1.3166,1.3166,8
"36",2024-10-26,2024-11-16,"1_D","1","D","5","0",0,NA,0,0,2.07,1.51,5.03,14.8,7.02,46.8,4155,76,0,0,76,0,"Very High","Med",18.2912154031288,0,0,18.2912154031288,18.2912154031288,0.356,1,1.3166,4,1.3166,1.3166,9
"37",2024-07-23,2024-07-23,"2_A","2","A","0.4","0",24,26,1.5885,0.0661875,0.40896,NA,0.38,27.9,6.06,35.4,3820,106,370,0,478,12,"Null","Null",27.7486910994764,96.8586387434555,0,125.130890052356,124.607329842932,0,0,0,0,1.5885,0.0661875,1
"38",2024-08-03,2024-08-03,"2_A","2","A","0.4","0",8,24,1.2478,0.155975,0.6,0.53,0.52,27.8,4.5,35.8,3775,89,26,0,115,0,"Low","Low",23.5761589403973,6.88741721854305,0,30.4635761589404,30.4635761589404,0,0,0,0,1.2478,0.155975,2
