"","ID","TankEn","Tank","Enclosure","Block","Treatment","time","M","Event","Date","TreatmentFac","Density","Date_rough","Pred","Chl.a.concentraion","logChl","Date_corrected","Collected.Volume..mL.","Copepoda","Diplostraca","Ostracoda","TotalZoop","Other","CopepodPerLiter","DiploPerLiter","OstracodPerLiter","ZoopPerLiter","CrustZoop","CrustPerLiter","Temp","Salinity","pH","DO","EnID","TempLag","ChlLag","logChlLag","CopeLag","DiploLag","OstraLag","ZoopLag"
"1",131,"10_A",10,"A",2,0.4,1,0,"Live",2024-07-23,"0.4",134,2024-07-21,"0",0.04272,-3.1530880843302,2024-07-23,3930,51,58,0,112,12,12.9770992366412,14.7582697201018,0,28.498727735369,109,0.027735368956743,27.75,0.42,6.14278438495118,30.65,1,NA,NA,NA,NA,NA,NA,NA
"2",131,"10_A",10,"A",2,0.4,2,0,"Live",2024-08-06,"0.4",32,2024-08-04,"0",0.08,-2.52572864430826,2024-08-03,3925,41,12,0,53,0,10.4458598726115,3.05732484076433,0,13.5031847133758,53,0.0135031847133758,27.9,0.45,5.98,37.4,1,27.75,0.04272,-3.1530880843302,12.9770992366412,14.7582697201018,0,112
"3",131,"10_A",10,"A",2,0.4,3,0,"Live",2024-08-20,"0.4",28,2024-08-18,"0",0.26,-1.34707364796661,2024-08-17,3985,2,128,0,132,2,0.501882057716437,32.1204516938519,0,33.1242158092848,130,0.0326223337515684,25.8,0.39,6.19,34.5,1,27.9,0.08,-2.52572864430826,10.4458598726115,3.05732484076433,0,53
"4",131,"10_A",10,"A",2,0.4,4,0,"Live",2024-09-03,"0.4",28,2024-09-01,"0",0.15,-1.89711998488588,2024-08-31,3875,8,9,0,23,6,2.06451612903226,2.32258064516129,0,5.93548387096774,17,0.00438709677419355,27.5,0.39,6.49,35.6,1,25.8,0.26,-1.34707364796661,0.501882057716437,32.1204516938519,0,132
"5",131,"10_A",10,"A",2,0.4,5,0,"Live",2024-09-17,"0.4",26,2024-09-15,"0",0.16,-1.83258146374831,2024-09-14,3980,6,71,2,81,2,1.50753768844221,17.8391959798995,0.50251256281407,20.3517587939699,79,0.0198492462311558,23.8,0.41,6.45,35.6,1,27.5,0.15,-1.89711998488588,2.06451612903226,2.32258064516129,0,23
"6",131,"10_A",10,"A",2,0.4,6,0,"Live",2024-10-01,"0.4",23,2024-09-29,"0",0.43,-0.843970070294529,2024-09-28,4175,6,40,11,61,4,1.43712574850299,9.58083832335329,2.63473053892216,14.6107784431138,57,0.0136526946107784,24.6,0.4,6.7,38.1,1,23.8,0.16,-1.83258146374831,1.50753768844221,17.8391959798995,0.50251256281407,81
"7",131,"10_A",10,"A",2,0.4,7,0,"Live",2024-10-15,"0.4",23,2024-10-13,"0",0.28,-1.27296567581289,2024-10-12,3945,2,54,11,76,9,0.506970849176172,13.6882129277567,2.78833967046895,19.2648922686946,67,0.0169835234474018,17.5,0.42,6.99,49,1,24.6,0.43,-0.843970070294529,1.43712574850299,9.58083832335329,2.63473053892216,61
"8",131,"10_A",10,"A",2,0.4,8,0,"Live",2024-10-29,"0.4",18,2024-10-27,"0",0.35,-1.04982212449868,2024-10-26,3975,18,149,73,253,13,4.52830188679245,37.4842767295598,18.3647798742138,63.6477987421384,240,0.060377358490566,20.1,0.42,7.16,49.2,1,17.5,0.28,-1.27296567581289,0.506970849176172,13.6882129277567,2.78833967046895,76
"9",131,"10_A",10,"A",2,0.4,9,0,"Live",2024-11-12,"0.4",18,2024-11-17,"0",0.7,-0.356674943938732,2024-11-16,4335,7,54,125,203,17,1.61476355247982,12.4567474048443,28.8350634371396,46.8281430219146,186,0.0429065743944637,14.9,0.46,6.88,44.3,1,20.1,0.35,-1.04982212449868,4.52830188679245,37.4842767295598,18.3647798742138,253
"10",132,"10_A",10,"A",2,0.4,1,0,"Live",2024-07-23,"0.4",134,2024-07-21,"0",0.04272,-3.1530880843302,2024-07-23,3930,51,58,0,112,12,12.9770992366412,14.7582697201018,0,28.498727735369,109,0.027735368956743,27.75,0.42,6.14278438495118,30.65,1,NA,NA,NA,NA,NA,NA,NA
"11",132,"10_A",10,"A",2,0.4,2,0,"Live",2024-08-06,"0.4",32,2024-08-04,"0",0.08,-2.52572864430826,2024-08-03,3925,41,12,0,53,0,10.4458598726115,3.05732484076433,0,13.5031847133758,53,0.0135031847133758,27.9,0.45,5.98,37.4,1,27.75,0.04272,-3.1530880843302,12.9770992366412,14.7582697201018,0,112
"12",132,"10_A",10,"A",2,0.4,3,0,"Live",2024-08-20,"0.4",28,2024-08-18,"0",0.26,-1.34707364796661,2024-08-17,3985,2,128,0,132,2,0.501882057716437,32.1204516938519,0,33.1242158092848,130,0.0326223337515684,25.8,0.39,6.19,34.5,1,27.9,0.08,-2.52572864430826,10.4458598726115,3.05732484076433,0,53
"13",132,"10_A",10,"A",2,0.4,4,0,"Live",2024-09-03,"0.4",28,2024-09-01,"0",0.15,-1.89711998488588,2024-08-31,3875,8,9,0,23,6,2.06451612903226,2.32258064516129,0,5.93548387096774,17,0.00438709677419355,27.5,0.39,6.49,35.6,1,25.8,0.26,-1.34707364796661,0.501882057716437,32.1204516938519,0,132
